feature,coefficient,abs_coefficient
Pclass_3,-1.3178823420613308,1.3178823420613308
IsLargeFamily,-0.43794845563487106,0.43794845563487106
Emb_S,-0.2513009094904019,0.2513009094904019
Emb_Q,0.21510495446292846,0.21510495446292846
IsChild,0.20468298264258675,0.20468298264258675
Deck_DE,0.17870939540969336,0.17870939540969336
HasCabin,0.14354379682883844,0.14354379682883844
Title_Rare,0.13275398636474672,0.13275398636474672
Emb_C,0.12097514972915502,0.12097514972915502
FareRankInClass,-0.11468159250864679,0.11468159250864679
Title_Miss,-0.1146628060692516,0.1146628060692516
IsAlone,0.10101817345428647,0.10101817345428647
Title_Mrs,0.08874382013184685,0.08874382013184685
Pclass_2,-0.06558427806080597,0.06558427806080597
Deck_FG,0.02850118203354815,0.02850118203354815
Deck_ABC,0.01779098307663742,0.01779098307663742
Title_Master,0.0,0.0
