feature,importance
PT_adult_male,0.225781
Sex,0.22260152
Title_Master,0.14983416
Title_Mr,0.10449033
Pclass,0.07101215
TicketGroupSize,0.034842018
FamilySize,0.030144311
HasCabin,0.028717577
PT_child,0.027765326
Emb_S,0.015721148
FarePerPerson,0.013152274
Fare,0.012351373
Emb_Q,0.010986954
Age,0.010877143
PT_adult_female,0.009921119
Emb_C,0.009133848
IsAlone,0.00863747
Title_Mrs,0.007498267
Title_Miss,0.0065320097
Title_Rare,0.0
