feature,importance
PT_adult_male,0.28897336
Title_Mr,0.110442825
Sex,0.1043233
Pclass,0.08921981
Title_Rare,0.07518498
Title_Master,0.05598186
HasCabin,0.038206
FamilySize,0.03424501
PT_child,0.033560548
TicketGroupSize,0.024646645
FarePerPerson,0.018469319
Emb_S,0.016098786
Fare,0.016035967
Age,0.015726425
Emb_C,0.014353537
Title_Mrs,0.014246547
PT_adult_female,0.014160682
IsAlone,0.014078404
Emb_Q,0.011061643
Title_Miss,0.010984354
