feature,coefficient,abs_coefficient
Pclass_3,-1.1367595954188154,1.1367595954188154
IsLargeFamily,-0.5223002189797806,0.5223002189797806
Fare,0.41590594413716664,0.41590594413716664
Emb_S,-0.2520086997381921,0.2520086997381921
Emb_Q,0.23302744227085367,0.23302744227085367
Deck_DE,0.22715488374819454,0.22715488374819454
IsChild,0.2145285466166116,0.2145285466166116
IsAlone,0.20252665715902726,0.20252665715902726
Title_Rare,0.15845716267694535,0.15845716267694535
Title_Miss,-0.12777931255421726,0.12777931255421726
Emb_C,0.10825514787757796,0.10825514787757796
Deck_ABC,-0.09721781145679267,0.09721781145679267
Title_Mrs,0.09680814448998533,0.09680814448998533
HasCabin,0.08772690253448653,0.08772690253448653
Pclass_2,0.06293558074601076,0.06293558074601076
Deck_FG,0.0468889029797669,0.0468889029797669
Title_Master,0.0,0.0
